timestamp,sensor_id,sensor_type,value
2025-09-28 00:00:00,SalaA_TEMP_1,temperature,19.87
2025-09-28 00:00:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 00:00:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 00:00:00,SalaB_TEMP_1,temperature,20.92
2025-09-28 00:00:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 00:00:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 00:00:00,SalaC_TEMP_1,temperature,20.55
2025-09-28 00:00:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 00:00:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 00:15:00,SalaA_TEMP_1,temperature,20.14
2025-09-28 00:15:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 00:15:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 00:15:00,SalaB_TEMP_1,temperature,19.67
2025-09-28 00:15:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 00:15:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 00:15:00,SalaC_TEMP_1,temperature,19.59
2025-09-28 00:15:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 00:15:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 00:30:00,SalaA_TEMP_1,temperature,19.89
2025-09-28 00:30:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 00:30:00,SalaA_OCC_1,occupancy,1.0
2025-09-28 00:30:00,SalaB_TEMP_1,temperature,20.63
2025-09-28 00:30:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 00:30:00,SalaB_OCC_1,occupancy,1.0
2025-09-28 00:30:00,SalaC_TEMP_1,temperature,20.49
2025-09-28 00:30:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 00:30:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 00:45:00,SalaA_TEMP_1,temperature,20.66
2025-09-28 00:45:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 00:45:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 00:45:00,SalaB_TEMP_1,temperature,20.77
2025-09-28 00:45:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 00:45:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 00:45:00,SalaC_TEMP_1,temperature,18.45
2025-09-28 00:45:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 00:45:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 01:00:00,SalaA_TEMP_1,temperature,20.2
2025-09-28 01:00:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 01:00:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 01:00:00,SalaB_TEMP_1,temperature,19.45
2025-09-28 01:00:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 01:00:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 01:00:00,SalaC_TEMP_1,temperature,19.12
2025-09-28 01:00:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 01:00:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 01:15:00,SalaA_TEMP_1,temperature,19.93
2025-09-28 01:15:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 01:15:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 01:15:00,SalaB_TEMP_1,temperature,19.12
2025-09-28 01:15:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 01:15:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 01:15:00,SalaC_TEMP_1,temperature,20.47
2025-09-28 01:15:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 01:15:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 01:30:00,SalaA_TEMP_1,temperature,20.98
2025-09-28 01:30:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 01:30:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 01:30:00,SalaB_TEMP_1,temperature,20.69
2025-09-28 01:30:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 01:30:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 01:30:00,SalaC_TEMP_1,temperature,19.65
2025-09-28 01:30:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 01:30:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 01:45:00,SalaA_TEMP_1,temperature,18.82
2025-09-28 01:45:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 01:45:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 01:45:00,SalaB_TEMP_1,temperature,20.55
2025-09-28 01:45:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 01:45:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 01:45:00,SalaC_TEMP_1,temperature,19.84
2025-09-28 01:45:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 01:45:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 02:00:00,SalaA_TEMP_1,temperature,20.71
2025-09-28 02:00:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 02:00:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 02:00:00,SalaB_TEMP_1,temperature,19.24
2025-09-28 02:00:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 02:00:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 02:00:00,SalaC_TEMP_1,temperature,19.07
2025-09-28 02:00:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 02:00:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 02:15:00,SalaA_TEMP_1,temperature,19.01
2025-09-28 02:15:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 02:15:00,SalaA_OCC_1,occupancy,1.0
2025-09-28 02:15:00,SalaB_TEMP_1,temperature,19.93
2025-09-28 02:15:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 02:15:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 02:15:00,SalaC_TEMP_1,temperature,21.21
2025-09-28 02:15:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 02:15:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 02:30:00,SalaA_TEMP_1,temperature,19.28
2025-09-28 02:30:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 02:30:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 02:30:00,SalaB_TEMP_1,temperature,20.79
2025-09-28 02:30:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 02:30:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 02:30:00,SalaC_TEMP_1,temperature,19.5
2025-09-28 02:30:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 02:30:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 02:45:00,SalaA_TEMP_1,temperature,19.2
2025-09-28 02:45:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 02:45:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 02:45:00,SalaB_TEMP_1,temperature,19.47
2025-09-28 02:45:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 02:45:00,SalaB_OCC_1,occupancy,1.0
2025-09-28 02:45:00,SalaC_TEMP_1,temperature,18.33
2025-09-28 02:45:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 02:45:00,SalaC_OCC_1,occupancy,1.0
2025-09-28 03:00:00,SalaA_TEMP_1,temperature,19.0
2025-09-28 03:00:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 03:00:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 03:00:00,SalaB_TEMP_1,temperature,19.77
2025-09-28 03:00:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 03:00:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 03:00:00,SalaC_TEMP_1,temperature,20.15
2025-09-28 03:00:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 03:00:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 03:15:00,SalaA_TEMP_1,temperature,20.22
2025-09-28 03:15:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 03:15:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 03:15:00,SalaB_TEMP_1,temperature,19.62
2025-09-28 03:15:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 03:15:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 03:15:00,SalaC_TEMP_1,temperature,19.4
2025-09-28 03:15:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 03:15:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 03:30:00,SalaA_TEMP_1,temperature,19.91
2025-09-28 03:30:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 03:30:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 03:30:00,SalaB_TEMP_1,temperature,19.89
2025-09-28 03:30:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 03:30:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 03:30:00,SalaC_TEMP_1,temperature,19.7
2025-09-28 03:30:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 03:30:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 03:45:00,SalaA_TEMP_1,temperature,21.49
2025-09-28 03:45:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 03:45:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 03:45:00,SalaB_TEMP_1,temperature,21.34
2025-09-28 03:45:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 03:45:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 03:45:00,SalaC_TEMP_1,temperature,19.13
2025-09-28 03:45:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 03:45:00,SalaC_OCC_1,occupancy,1.0
2025-09-28 04:00:00,SalaA_TEMP_1,temperature,19.14
2025-09-28 04:00:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 04:00:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 04:00:00,SalaB_TEMP_1,temperature,19.22
2025-09-28 04:00:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 04:00:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 04:00:00,SalaC_TEMP_1,temperature,19.95
2025-09-28 04:00:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 04:00:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 04:15:00,SalaA_TEMP_1,temperature,21.16
2025-09-28 04:15:00,SalaA_LUX_1,luminosity,0.0
2025-09-28 04:15:00,SalaA_OCC_1,occupancy,0.0
2025-09-28 04:15:00,SalaB_TEMP_1,temperature,20.37
2025-09-28 04:15:00,SalaB_LUX_1,luminosity,0.0
2025-09-28 04:15:00,SalaB_OCC_1,occupancy,0.0
2025-09-28 04:15:00,SalaC_TEMP_1,temperature,19.55
2025-09-28 04:15:00,SalaC_LUX_1,luminosity,0.0
2025-09-28 04:15:00,SalaC_OCC_1,occupancy,0.0
2025-09-28 04:30:00,SalaA_TEMP_1,temperature,20.6
2025-09-28 04:30:00,SalaA_LUX_1,luminosity,0.0
